0      0      197
0      1      198
0      2      196
1      0      196
1      1      192
1      2      194
2      0      194
2      1      197
2      2      196
3      0      193
3      1      190
3      2      195
4      0      194
4      1      193
4      2      197
5      0      188
5      1      189
5      2      182
6      0      189
6      1      183
6      2      182
7      0      183
7      1      180
7      2      174
8      0      173
8      1      182
8      2      175
9      0      187
9      1      180
9      2      183
10      0      188
10      1      194
10      2      189
11      0      184
11      1      188
11      2      181
12      0      193
12      1      194
12      2      188
13      0      174
13      1      180
13      2      172
14      0      164
14      1      174
14      2      162
15      0      149
15      1      164
15      2      162
16      0      148
16      1      149
16      2      162
17      0      132
17      1      131
17      2      150
18      0      163
18      1      175
18      2      164
19      0      175
19      1      183
19      2      174
20      0      148
20      1      132
20      2      149
21      0      189
21      1      194
21      2      192
22      0      187
22      1      189
22      2      192
23      0      182
23      1      181
23      2      188
24      0      175
24      1      182
24      2      183
25      0      188
25      1      190
25      2      193
26      0      173
26      1      181
26      2      182
27      0      119
27      1      103
27      2      120
28      0      178
28      1      168
28      2      166
29      0      177
29      1      178
29      2      166
30      0      185
30      1      186
30      2      178
31      0      154
31      1      165
31      2      163
32      0      150
32      1      136
32      2      154
33      0      164
33      1      150
33      2      163
34      0      149
34      1      132
34      2      150
35      0      137
35      1      155
35      2      154
36      0      119
36      1      102
36      2      103
37      0      119
37      1      105
37      2      102
38      0      138
38      1      119
38      2      120
39      0      134
39      1      135
39      2      120
40      0      155
40      1      137
40      2      138
41      0      121
41      1      118
41      2      104
42      0      86
42      1      87
42      2      105
43      0      153
43      1      168
43      2      167
44      0      187
44      1      183
44      2      189
45      0      174
45      1      172
45      2      162
46      0      190
46      1      184
46      2      186
47      0      176
47      1      181
47      2      173
48      0      176
48      1      184
48      2      181
49      0      165
49      1      176
49      2      173
50      0      175
50      1      163
50      2      173
51      0      104
51      1      118
51      2      101
52      0      105
52      1      104
52      2      86
53      0      105
53      1      119
53      2      121
54      0      169
54      1      155
54      2      167
55      0      179
55      1      169
55      2      167
56      0      165
56      1      154
56      2      169
57      0      105
57      1      121
57      2      104
58      0      169
58      1      154
58      2      155
59      0      104
59      1      101
59      2      86
60      0      154
60      1      136
60      2      137
61      0      116
61      1      101
61      2      118
62      0      179
62      1      186
62      2      184
63      0      169
63      1      179
63      2      176
